"date","theme","topic","index_within_date","new_word","theme_upper","category","content_length"
2020-04-08,"OFFICIAL"," Release of funds to States or UTs under NHM for Emergency Response and Health System Preparedness Package for COVID-19.pdf",1," Release of funds to States or UTs under NHM for Emergency Response and Health System Preparedness Package for COVID-19","OFFICIAL","OFFICIAL",19
2020-04-09,"HOSPITALS"," Advisory for Voluntary Blood Donation during COVID- 19 scenario.pdf",1," Advisory for Voluntary Blood Donation during COVID- 19 scenario","HOSPITALS","HOSPITALS",9
2020-04-09,"OFFICIAL"," Advisory for Voluntary Blood Donation during COVID- 19 scenario.pdf",1," Advisory for Voluntary Blood Donation during COVID- 19 scenario","OFFICIAL","OFFICIAL",9
2020-04-11,"OFFICIAL"," Letter from Ministry of Home Affairs to Administrators, DGPs of all States or UTs and CP Delhi regarding Security to all Doctors , Staff of Hospitals in respect of COVID-19.pdf",1," Letter from Ministry of Home Affairs to Administrators, DGPs of all States or UTs and CP Delhi regarding Security to all Doctors , Staff of Hospitals in respect of COVID-19","OFFICIAL","OFFICIAL",30
2020-04-11,"OFFICIAL"," Orders of Ministry of Home Affairs to Ministries or States or UTs for exemption to Fishing.pdf",2," Orders of Ministry of Home Affairs to Ministries or States or UTs for exemption to Fishing","OFFICIAL","OFFICIAL",16
2020-04-14,"HOSPITALS"," Advisory on feasibility of using pooled samples for molecular testing of COVID19 by ICMR.pdf",1," Advisory on feasibility of using pooled samples for molecular testing of COVID19 by ICMR","HOSPITALS","HOSPITALS",14
2020-04-14,"OFFICIAL"," Advisory for effective management & ensuring safe drinking water during lock down due to COVID-19.pdf",1," Advisory for effective management & ensuring safe drinking water during lock down due to COVID-19","OFFICIAL","OFFICIAL",15
2020-04-14,"OFFICIAL"," Advisory on feasibility of using pooled samples for molecular testing of COVID-19 by ICMR.pdf",2," Advisory on feasibility of using pooled samples for molecular testing of COVID-19 by ICMR","OFFICIAL","OFFICIAL",14
2020-04-14,"OFFICIAL"," uidance note for enabling Delivery of Essential Health Services during the COVID 19 Outbreak.pdf",3," uidance note for enabling Delivery of Essential Health Services during the COVID 19 Outbreak","OFFICIAL","OFFICIAL",14
2020-04-17,"HOSPITALS"," Guidelines issued by ICMR for Rapid antibody test' in Hotspot Area'.pdf",1," Guidelines issued by ICMR for Rapid antibody test' in Hotspot Area'","HOSPITALS","HOSPITALS",11
2020-04-17,"OFFICIAL"," Guidelines issued by ICMR for Rapid antibody test' in Hotspot Area'.pdf",1," Guidelines issued by ICMR for Rapid antibody test' in Hotspot Area'","OFFICIAL","OFFICIAL",11
2020-04-18,"AWARENESS"," Information for general public on use of necessary medicines for COVID -19(Poster).pdf",1," Information for general public on use of necessary medicines for COVID -19(Poster)","AWARENESS","AWARENESS",12
2020-04-18,"CITIZENS"," Advisory against spraying of disinfectant on people for COVID-19 management.pdf",1," Advisory against spraying of disinfectant on people for COVID-19 management","CITIZENS","CITIZENS",10
